City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
210,Bereda,ES,62.01,43.27,-7.54,
211,Port-Cartier,CA,62.01,50.03,-66.87,
212,Inuvik,CA,60.8,68.35,-133.72,
213,Saint-Augustin,CA,64.8,51.23,-58.65,
214,Ormara,PK,83.66,25.21,64.64,
215,Victoria,HK,82.0,22.29,114.16,
216,Lufilufi,WS,86.0,-13.87,-171.6,
218,Port Blair,IN,82.15,11.67,92.75,
219,Touros,BR,78.8,-5.2,-35.46,
220,Corby,GB,61.0,52.5,-0.69,
221,Dayong,CN,78.8,25.02,118.29,
222,Naze,JP,84.2,28.37,129.48,
223,Gat,IL,80.01,31.61,34.76,
224,Ambanja,MG,71.35,-13.68,48.45,
225,Pochutla,MX,88.0,15.74,-96.47,
226,Nikolskoye,RU,64.4,59.7,30.79,
227,Mahajanga,MG,71.6,-15.72,46.32,
228,Lasa,IT,60.01,46.62,10.7,
230,Maumere,ID,75.61,-8.62,122.21,
231,Teahupoo,PF,80.6,-17.83,-149.27,
232,Bristol,US,78.01,41.83,-71.17,
233,Santiago Del Estero,AR,69.46,-27.8,-64.26,
234,Lata,PT,66.0,40.16,-8.33,
236,Maningrida,AU,62.13,-12.07,134.27,
237,Ray,IN,77.23,23.68,85.05,
238,Lazaro Cardenas,MX,85.06,17.96,-102.2,
240,Komnina,GR,79.0,40.6,21.78,
244,Jinji,CN,77.4,23.23,110.83,
245,Ongandjera,,66.6,-17.88,15.07,
246,Trelew,AR,66.61,-43.25,-65.31,
247,Limoges,FR,63.0,45.75,1.33,
248,Santa Cruz,BO,68.0,-17.8,-63.17,
252,Weymouth,US,78.8,42.22,-70.94,
257,Kavaratti,IN,82.47,10.57,72.64,
258,De-Kastri,RU,60.84,51.47,140.78,
259,Truro,GB,60.8,50.27,-5.05,
261,Punta De Piedra,VE,81.01,7.62,-71.49,
265,Bandarbeyla,SO,76.39,9.49,50.81,
266,Nador,MA,82.4,35.17,-2.93,
267,Los Llanos De Aridane,ES,75.2,28.66,-17.92,
268,Cabedelo,BR,77.0,-6.98,-34.83,
271,Nalut,LY,83.16,30.33,10.85,
272,Dalbandin,PK,89.85,28.89,64.41,
273,Henties Bay,,72.0,-22.12,14.28,
275,Ugoofaaru,MV,83.39,5.67,73.0,
276,Jalu,LY,81.82,29.03,21.55,
277,Quatre Cocos,MU,69.8,-20.21,57.76,
279,Lagoa,PT,72.55,39.05,-27.98,
280,Monrovia,LR,77.0,6.3,-10.8,
284,Tamahu,GT,70.3,15.33,-90.17,
285,Salalah,OM,77.0,17.02,54.09,
286,Atherton,GB,60.01,53.52,-2.49,
290,Poya,NC,70.92,-21.35,165.15,
291,Gorontalo,ID,75.69,0.54,123.06,
292,Cayenne,GF,87.8,4.93,-52.33,
295,Hambantota,LK,78.8,6.12,81.12,
296,Bathsheba,BB,86.0,13.22,-59.52,
297,Shingu,JP,74.8,33.73,135.98,
298,Sao Filipe,CV,79.18,14.9,-24.5,
300,Soyo,AO,73.87,-6.13,12.37,
302,Jinchang,CN,60.62,38.5,102.17,
303,Broome,US,84.0,42.25,-75.83,
304,Cabo San Lucas,MX,89.6,22.89,-109.91,
305,Briceni,MD,64.99,48.36,27.7,
306,Palaikastron,GR,82.0,35.2,26.25,
307,Komsomolskiy,UZ,71.6,40.43,71.72,
308,Biak,ID,75.96,-0.91,122.88,
309,Zhezkazgan,KZ,60.06,47.8,67.71,
310,Acarau,BR,78.8,-2.89,-40.12,
311,Vao,NC,71.44,-22.67,167.48,
317,Kloulklubed,PW,75.2,7.04,134.26,
318,Tucuman,AR,69.8,-26.82,-65.22,
319,Tigzirt,DZ,75.72,36.89,4.12,
320,Padilla,CO,82.4,3.22,-76.31,
325,Labuhan,ID,76.03,-6.88,112.21,
326,Ceres,US,84.2,37.59,-120.96,
328,Haines Junction,CA,63.99,60.75,-137.51,
329,North Myrtle Beach,US,84.0,33.82,-78.68,
331,Villingen-Schwenningen,DE,61.0,48.07,8.45,
334,Tutoia,BR,78.6,-2.76,-42.27,
337,Prattville,US,87.01,32.46,-86.46,
338,Shenjiamen,CN,79.74,29.96,122.3,
340,Bara,NG,76.1,10.37,10.73,
341,Falmouth,GB,60.8,50.15,-5.07,
342,Makakilo City,US,86.0,21.35,-158.09,
343,Kuching,MY,75.0,1.55,110.33,
344,Northampton,US,89.01,40.88,-75.25,
345,Carutapera,BR,80.19,-1.2,-46.02,
346,Hamilton,US,81.0,39.18,-84.53,
348,Sokolo,ML,78.49,14.73,-6.12,
349,Kavieng,PG,82.2,-2.57,150.8,
351,Zhanaozen,KZ,71.17,43.3,52.8,
352,Palauig,PH,81.34,15.44,119.9,
353,Nieuw Nickerie,SR,84.09,5.95,-56.98,
354,Cap Malheureux,MU,69.01,-19.98,57.61,
355,Padang,ID,77.88,-0.95,100.35,
356,Grand Gaube,MU,69.01,-20.01,57.66,
358,Penzance,GB,60.8,50.12,-5.54,
359,Pathum Thani,TH,86.0,14.01,100.53,
363,Dreux,FR,68.0,48.67,1.25,
367,Les Cayes,HT,87.31,18.2,-73.75,
368,Kushiro,JP,64.11,42.98,144.37,
369,Japura,ID,74.17,-0.32,102.35,
371,Llanes,ES,66.99,43.42,-4.75,
373,Richards Bay,ZA,65.08,-28.78,32.04,
374,Saint-Francois,FR,71.6,46.42,3.91,
377,Thinadhoo,MV,83.14,0.53,72.93,
378,Kaoma,ZM,66.96,-14.78,24.8,
379,North Bend,US,82.0,43.41,-124.22,
380,Popondetta,PG,74.79,-8.75,148.25,
382,Sinnamary,GF,82.42,5.38,-52.95,
383,Tabuk,PH,73.89,17.42,121.44,
384,Gamba,GA,73.27,-2.65,10.0,
385,Muisne,EC,80.6,0.6,-80.03,
386,Ler,SS,73.96,8.3,30.14,
388,Acara,BR,81.37,-1.96,-48.2,
389,Cordoba,AR,66.99,-31.41,-64.18,
394,Kenai,US,66.2,60.55,-151.26,
396,Vieux-Habitants,GP,84.2,16.06,-61.77,
397,Nantucket,US,77.0,41.28,-70.1,
400,Ambilobe,MG,68.52,-13.2,49.05,
402,Aktau,KZ,66.2,43.65,51.2,
