City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
61,East London,-33.02,27.91,66.22,36,0,4.29,ZA,2020-08-22 20:56:30,clear sky
62,Saurimo,-9.66,20.39,71.82,37,37,2.62,AO,2020-08-22 20:54:05,scattered clouds
63,Ancud,-41.87,-73.82,54.0,81,20,18.34,CL,2020-08-22 20:47:00,few clouds
64,Arroyo,41.61,-4.8,71.01,42,22,8.05,ES,2020-08-22 20:56:31,few clouds
65,Namatanai,-3.67,152.43,79.09,80,74,3.85,PG,2020-08-22 20:46:42,moderate rain
66,Stromness,58.97,-3.3,55.4,93,92,14.99,GB,2020-08-22 20:56:31,overcast clouds
67,Avarua,-21.21,-159.78,77.0,69,14,13.87,CK,2020-08-22 20:56:32,few clouds
68,Asau,46.43,26.4,63.0,87,0,2.59,RO,2020-08-22 20:47:08,clear sky
69,Port Alfred,-33.59,26.89,60.46,65,0,9.19,ZA,2020-08-22 20:54:04,clear sky
70,Izhevskoye,54.56,40.87,53.92,83,3,2.77,RU,2020-08-22 20:56:33,clear sky
71,Verkhnyaya Inta,65.98,60.31,42.85,94,12,3.85,RU,2020-08-22 20:56:33,few clouds
72,Shimoda,34.67,138.95,71.01,91,100,1.01,JP,2020-08-22 20:54:03,light rain
73,Tuatapere,-46.13,167.68,43.0,98,100,1.01,NZ,2020-08-22 20:56:33,overcast clouds
74,Bihoro,43.82,144.1,60.04,88,1,5.75,JP,2020-08-22 20:56:33,clear sky
75,Kidal,18.44,1.41,95.58,30,0,14.72,ML,2020-08-22 20:56:34,clear sky
76,Guerrero Negro,27.98,-114.06,89.26,41,0,15.73,MX,2020-08-22 20:56:34,clear sky
77,Yilan,24.76,121.75,80.6,88,75,12.75,TW,2020-08-22 20:56:34,light intensity shower rain
78,Santa Fe Do Sul,-20.21,-50.93,70.5,32,6,7.11,BR,2020-08-22 20:55:56,clear sky
79,Bar Harbor,44.39,-68.2,75.2,53,75,9.17,US,2020-08-22 20:56:34,broken clouds
80,Zhigansk,66.77,123.37,38.59,82,62,15.19,RU,2020-08-22 20:56:35,broken clouds
81,Mahebourg,-20.41,57.7,69.8,88,75,12.75,MU,2020-08-22 20:53:06,broken clouds
82,Constitucion,-35.33,-72.42,56.19,84,2,13.11,CL,2020-08-22 20:56:35,clear sky
83,Challans,46.84,-1.87,66.99,82,100,11.03,FR,2020-08-22 20:56:35,overcast clouds
84,Waspan,14.74,-83.97,91.4,66,40,3.6,NI,2020-08-22 20:56:36,scattered clouds
85,Aqtobe,50.28,57.21,57.2,67,56,4.47,KZ,2020-08-22 20:56:36,broken clouds
86,Muscat,23.61,58.59,86.0,79,96,2.24,OM,2020-08-22 20:56:36,overcast clouds
87,Port Macquarie,-31.43,152.92,52.0,50,0,13.29,AU,2020-08-22 20:56:36,clear sky
88,Vanimo,-2.67,141.3,77.99,84,28,3.87,PG,2020-08-22 20:56:36,light rain
89,Vila Velha,-20.33,-40.29,64.4,93,90,13.87,BR,2020-08-22 20:56:37,light rain
90,Sheridan,44.83,-106.92,98.01,12,1,4.7,US,2020-08-22 20:56:02,haze
91,Punta De Bombon,-17.17,-71.79,60.69,78,67,5.59,PE,2020-08-22 20:56:37,broken clouds
92,Bambous Virieux,-20.34,57.76,69.8,88,75,12.75,MU,2020-08-22 20:56:37,broken clouds
93,Gizo,-8.1,156.84,82.51,81,67,18.21,SB,2020-08-22 20:56:38,light rain
94,Yuci,37.68,112.73,68.0,82,78,2.24,CN,2020-08-22 20:56:38,mist
95,Souillac,-20.52,57.52,69.8,88,75,12.75,MU,2020-08-22 20:52:43,broken clouds
96,Klaksvik,62.23,-6.59,46.4,81,100,14.99,FO,2020-08-22 20:56:38,light rain
97,Chulym,55.1,80.96,52.54,91,100,7.54,RU,2020-08-22 20:56:39,overcast clouds
98,Mar Del Plata,-38.0,-57.56,60.8,31,0,12.75,AR,2020-08-22 20:56:39,clear sky
99,Derzhavinsk,51.1,66.32,55.89,86,60,5.79,KZ,2020-08-22 20:56:39,broken clouds
100,Aklavik,68.22,-135.01,51.8,93,90,4.7,CA,2020-08-22 20:46:54,overcast clouds
101,Opuwo,-18.06,13.84,58.3,35,0,4.41,NA,2020-08-22 20:56:39,clear sky
102,Faanui,-16.48,-151.75,77.2,78,6,22.91,PF,2020-08-22 20:56:40,clear sky
103,The Valley,18.22,-63.06,86.0,74,20,17.22,AI,2020-08-22 20:56:08,few clouds
104,Kudahuvadhoo,2.67,72.89,84.0,69,53,7.61,MV,2020-08-22 20:46:55,broken clouds
105,Hami,42.8,93.45,75.36,27,0,1.97,CN,2020-08-22 20:53:17,clear sky
106,Severo-Kurilsk,50.68,156.12,51.3,85,44,12.15,RU,2020-08-22 20:56:41,scattered clouds
107,Nanortalik,60.14,-45.24,47.62,70,8,2.46,GL,2020-08-22 20:56:41,clear sky
108,Cap-Aux-Meules,47.38,-61.86,68.0,60,20,12.75,CA,2020-08-22 20:54:31,few clouds
109,Necochea,-38.55,-58.74,59.0,42,0,11.01,AR,2020-08-22 20:54:50,clear sky
110,Alice Springs,-23.7,133.88,42.8,52,0,4.7,AU,2020-08-22 20:55:08,clear sky
111,Hilo,19.73,-155.09,84.2,66,75,4.7,US,2020-08-22 20:56:21,broken clouds
112,Plyussa,58.43,29.37,65.35,65,100,9.73,RU,2020-08-22 20:56:42,overcast clouds
113,Amahai,-3.33,128.92,76.06,85,59,4.41,ID,2020-08-22 20:56:43,light rain
114,La Ronge,55.1,-105.28,60.8,82,90,17.22,CA,2020-08-22 20:53:14,overcast clouds
115,Erenhot,43.65,111.98,65.86,70,99,2.04,CN,2020-08-22 20:56:43,overcast clouds
116,College,64.86,-147.8,72.0,49,40,10.29,US,2020-08-22 20:53:49,scattered clouds
117,Mataura,-46.19,168.86,43.0,98,98,1.01,NZ,2020-08-22 20:56:44,overcast clouds
118,Susanville,40.42,-120.65,89.01,20,1,4.7,US,2020-08-22 20:56:44,haze
119,Sept-Iles,50.2,-66.38,63.0,59,40,9.17,CA,2020-08-22 20:52:08,scattered clouds
120,Tigil,57.8,158.67,48.87,74,91,2.15,RU,2020-08-22 20:56:44,overcast clouds
121,Chuy,-33.7,-53.46,50.41,64,0,5.5,UY,2020-08-22 20:56:44,clear sky
122,Ekibastuz,51.67,75.37,58.42,68,41,12.28,KZ,2020-08-22 20:56:45,scattered clouds
123,Upernavik,72.79,-56.15,44.19,71,85,11.34,GL,2020-08-22 20:56:45,overcast clouds
124,Cape Town,-33.93,18.42,54.0,93,2,4.7,ZA,2020-08-22 20:52:25,clear sky
125,Noshiro,40.2,140.02,70.0,92,100,3.13,JP,2020-08-22 20:56:45,overcast clouds
126,Longyearbyen,78.22,15.64,42.8,67,40,5.82,SJ,2020-08-22 20:56:46,scattered clouds
127,Kodiak,57.79,-152.41,69.8,56,1,11.41,US,2020-08-22 20:53:33,clear sky
128,Reconquista,-29.15,-59.65,60.51,42,0,6.73,AR,2020-08-22 20:56:46,clear sky
129,Ponta Do Sol,32.67,-17.1,75.2,69,40,16.11,PT,2020-08-22 20:56:46,scattered clouds
130,Luderitz,-26.65,15.16,66.42,25,0,6.67,NA,2020-08-22 20:56:47,clear sky
131,Ribeira Grande,38.52,-28.7,73.4,83,75,4.7,PT,2020-08-22 20:56:47,broken clouds
132,Kuna,43.49,-116.42,84.99,37,1,6.93,US,2020-08-22 20:56:40,clear sky
133,Bogovarovo,58.98,47.02,54.18,89,0,4.41,RU,2020-08-22 20:56:47,clear sky
134,Bredasdorp,-34.53,20.04,57.2,82,7,11.41,ZA,2020-08-22 20:56:47,clear sky
135,Misratah,32.38,15.09,80.1,69,0,8.93,LY,2020-08-22 20:56:48,clear sky
136,Storslett,69.77,21.02,58.98,85,100,3.58,NO,2020-08-22 20:56:48,light rain
137,Gouyave,12.16,-61.73,87.8,74,20,14.99,GD,2020-08-22 20:56:48,few clouds
138,Airai,-8.93,125.41,57.83,46,76,3.71,TL,2020-08-22 20:56:48,broken clouds
139,Shieli,44.17,66.75,72.12,38,14,9.19,KZ,2020-08-22 20:56:49,few clouds
140,Kahului,20.89,-156.47,84.2,62,40,17.22,US,2020-08-22 20:56:49,scattered clouds
141,Pangody,65.85,74.49,54.25,86,100,13.27,RU,2020-08-22 20:56:49,overcast clouds
142,Dikson,73.51,80.55,47.88,76,94,8.23,RU,2020-08-22 20:52:23,overcast clouds
143,Kholm,59.27,32.85,59.9,75,99,8.16,RU,2020-08-22 20:56:50,overcast clouds
144,Ariquemes,-9.91,-63.04,85.69,29,0,4.83,BR,2020-08-22 20:56:50,clear sky
145,Kaitangata,-46.28,169.85,51.01,76,61,5.01,NZ,2020-08-22 20:56:50,broken clouds
146,Xam Nua,20.42,104.04,65.66,95,100,1.66,LA,2020-08-22 20:56:50,overcast clouds
147,Narsaq,60.92,-46.05,53.6,62,20,8.05,GL,2020-08-22 20:56:51,few clouds
148,Barrow,71.29,-156.79,42.8,87,90,23.04,US,2020-08-22 20:56:51,overcast clouds
149,Boda,4.32,17.47,69.51,95,100,2.98,CF,2020-08-22 20:56:51,overcast clouds
150,Praia Da Vitoria,38.73,-27.07,75.2,73,20,4.23,PT,2020-08-22 20:56:51,few clouds
151,Hithadhoo,-0.6,73.08,82.72,81,12,14.76,MV,2020-08-22 20:56:52,few clouds
152,Christchurch,-43.53,172.63,52.0,100,100,8.05,NZ,2020-08-22 20:53:31,light rain
153,Hailar,49.2,119.7,59.97,93,100,6.08,CN,2020-08-22 20:56:52,overcast clouds
154,Nizhniy Kuranakh,58.84,125.49,44.42,84,37,1.41,RU,2020-08-22 20:56:52,scattered clouds
155,Torbay,47.67,-52.73,70.0,49,20,9.17,CA,2020-08-22 20:56:52,few clouds
156,Seymchan,62.88,152.43,40.32,70,100,13.09,RU,2020-08-22 20:56:53,overcast clouds
157,Georgetown,5.41,100.34,80.6,94,40,2.24,MY,2020-08-22 20:52:43,scattered clouds
158,Talnakh,69.49,88.4,57.2,62,41,11.18,RU,2020-08-22 20:56:53,scattered clouds
159,Strezhevoy,60.73,77.59,44.6,93,90,2.24,RU,2020-08-22 20:56:54,fog
160,Lethem,3.38,-59.8,81.41,65,94,2.64,GY,2020-08-22 20:53:45,overcast clouds
161,Hanzhong,33.07,107.03,69.33,89,67,2.44,CN,2020-08-22 20:56:54,broken clouds
162,Umm Lajj,25.02,37.27,83.46,67,0,5.73,SA,2020-08-22 20:56:54,clear sky
163,Berbera,10.44,45.01,91.58,44,3,18.84,SO,2020-08-22 20:53:59,clear sky
164,Bethel,41.37,-73.41,89.01,35,1,11.41,US,2020-08-22 20:56:55,clear sky
165,Scarborough,54.28,-0.4,57.99,92,100,1.99,GB,2020-08-22 20:56:28,light rain
166,Linkou,45.3,130.28,55.47,82,100,3.06,CN,2020-08-22 20:56:55,overcast clouds
167,Kendari,-3.94,122.5,70.3,94,100,2.33,ID,2020-08-22 20:56:56,overcast clouds
168,Waipawa,-41.41,175.52,50.0,87,100,3.36,NZ,2020-08-22 20:56:56,overcast clouds
169,Valparaiso,-33.04,-71.63,52.0,100,90,13.87,CL,2020-08-22 20:56:00,light intensity drizzle
170,Hede,33.77,120.25,73.27,93,0,1.66,CN,2020-08-22 20:56:56,clear sky
171,Prince Rupert,54.32,-130.32,59.0,82,75,13.87,CA,2020-08-22 20:56:57,broken clouds
172,Vila Franca Do Campo,37.72,-25.43,73.4,88,20,4.7,PT,2020-08-22 20:56:57,few clouds
173,Carnarvon,-24.87,113.63,64.4,82,100,11.41,AU,2020-08-22 20:56:57,overcast clouds
174,Majene,-3.54,118.97,75.99,82,33,8.75,ID,2020-08-22 20:56:57,scattered clouds
